lang;reference;content;local_content_key_id;created_at;updated_at;deleted_at
fr;entity.storage;entity.storage;66;2020-12-25 08:03:31;;
en;status;Status;67;2020-12-25 08:05:09;;
fr;status;Status;67;2020-12-25 08:05:09;;
en;profile;profile;68;2020-12-27 15:06:01;;
fr;profile;profile;68;2020-12-27 15:06:01;;
en;menu.quicklist;menu.quicklist;69;2020-12-27 15:06:01;;
fr;menu.quicklist;menu.quicklist;69;2020-12-27 15:06:01;;
en;bs24.telephone;bs24.telephone;70;2020-12-27 15:06:02;;
fr;bs24.telephone;bs24.telephone;70;2020-12-27 15:06:02;;
en;bs24.email;bs24.email;71;2020-12-27 15:06:02;;
fr;bs24.email;bs24.email;71;2020-12-27 15:06:02;;
en;copyright;BuyamSellam24 | Copyright © :year buyamsellam24.com;72;2020-12-27 15:06:02;;
fr;copyright;BuyamSellam24 | Copyright © :year buyamsellam24.com;72;2020-12-27 15:06:02;;
en;text de bas de page;This is a CMS block. You can insert any content (HTML, Text, Images) Here. Lorem Ipsum is simply
                        dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard
                        dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to
                        make a type specimen book. It has survived not only five centuries, but also the leap into electronic
                        typesetting, remaining essentially unchanged.;73;2020-12-27 15:06:02;;
fr;text de bas de page;This is a CMS block. You can insert any content (HTML, Text, Images) Here. Lorem Ipsum is simply
                        dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard
                        dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to
                        make a type specimen book. It has survived not only five centuries, but also the leap into electronic
                        typesetting, remaining essentially unchanged.;73;2020-12-27 15:06:02;;
en;menu.dashboard;menu.dashboard;74;2020-12-27 15:12:53;;
fr;menu.dashboard;menu.dashboard;74;2020-12-27 15:12:53;;
